src_ip,dst_ip,src_port,dst_port,protocol,DFT_Mod_0,DFT_Mod_1,DFT_Mod_2,DFT_Mod_3,DFT_Mod_4,DFT_Mod_5,DFT_Mod_6,DFT_Mod_7,DFT_Mod_8,DFT_Mod_9,DFT_Mod_10,DFT_Mod_11,DFT_Mod_12,DFT_Mod_13,DFT_Mod_14,DFT_Mod_15,DFT_Mod_16,DFT_Mod_17,DFT_Mod_18,DFT_Mod_19,DFT_Mod_20,DFT_Mod_21,DFT_Mod_22,DFT_Mod_23,DFT_Mod_24
34.117.65.55,192.168.10.23,443.0,58196.0,6.0,0.25467815001805616,0.08460463757388893,0.08407179913451746,0.08335905061606086,0.2477355328829254,0.25612314542134595,0.08334986710287172,0.08333994948780962,0.08334619031034873,0.24703515416483174,0.33942540486653644,5.798858978446767e-05,3.777593501934484e-05,4.7994180774829244e-05,0.3303247754427115,0.33945981661478675,5.337918455355849e-05,3.828827715066924e-05,6.941246304313994e-05,0.3303071239339344,0.33795714378356934,0.0014685514260066308,0.0014644174204591475,0.0014597338903086115,0.3310414915494078
192.168.10.32,192.168.10.255,138.0,138.0,17.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
192.168.10.150,239.255.255.250,1900.0,1900.0,17.0,0.08340167999267575,0.08333326940061003,0.08332172043492168,0.08333432683881749,0.08332142242369374,0.1667350133260091,2.0869447514841007e-05,0.1666550537316464,4.0959374364337e-06,0.16665475571442,0.16673260927200317,1.977031102470817e-05,0.1666538516740125,1.8575452818211936e-06,0.1666559577073526,0.16673084100087482,1.836627396917383e-05,0.16665473580364765,1.7504337105320293e-06,0.16665684186544671,0.16672658920288086,1.4183689298690942e-05,0.1666589876016416,5.87272976576893e-06,0.16665259006745353
81.16.47.3,192.168.10.22,123.0,123.0,17.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
217.196.145.42,192.168.10.22,123.0,123.0,17.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
192.168.10.32,239.255.255.250,63733.0,3702.0,17.0,0.6484204133351643,0.15714921164256934,0.12892328043059326,0.14195357724882715,0.043661590121914125,0.7317537466684977,0.09091505812950584,0.16266005941117875,0.11741325813290729,0.04665177591785901,0.795466423034668,0.10276672117348952,0.1511129944131442,0.053761641769225245,0.07346759168475066,0.8391049106915791,0.1419713613247406,0.11606038519505286,0.0670161915545078,0.03629919899665843,0.7692167560259501,0.07345401579118269,0.18393279954052938,0.043320348668743965,0.08748751443568593
192.168.10.150,192.168.10.255,138.0,138.0,17.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
192.168.10.32,51.104.136.2,26671.0,443.0,6.0,0.008928000926971387,0.001245671681367414,0.0030576672474493666,0.006292789936698809,0.0045826785728789125,0.010763168334960889,0.002833298079341465,0.0012358021020630633,0.0073847694782439716,0.004879352145849277,0.007972757021586053,0.000549910376824927,0.0034018658540885933,0.005650169345632243,0.003762003749211365,0.007957577705383254,0.0005579120352982137,0.0034045152837840352,0.0056635711672625355,0.003775778278093356,0.010474085807800255,0.0020381077815455665,0.005569151714612121,0.005003993015661443,0.006009755085661775
192.168.10.32,51.104.136.2,26672.0,443.0,6.0,0.008758008480071995,0.0012681117084704606,0.0028459356113525996,0.006306333886093867,0.0045668677751437015,0.008842011292775445,0.0013281409771388854,0.002762135605979957,0.0063462920653644785,0.004564305580346217,0.006037751833597787,0.001540443880753153,0.0047195363643455866,0.004114603418009934,0.002501935746461318,0.006021340688069629,0.0015528155468577359,0.004719063714253285,0.004126788175502087,0.0025183417713813524,0.008623182773590055,0.002556061693762516,0.007115490960378458,0.0030717855116531934,0.004465924669959015
185.144.161.170,192.168.10.22,123.0,123.0,17.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
78.41.116.149,192.168.10.22,123.0,123.0,17.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
162.159.200.1,192.168.10.22,123.0,123.0,17.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
192.168.10.32,52.184.214.53,26674.0,443.0,6.0,0.026707430680592826,0.004120604959666415,0.008723254460236274,0.018388623119823335,0.015424381121232109,0.02672266960144039,0.004114156962286533,0.008716763519246063,0.018402594582411683,0.015411294412250793,0.018268326918284058,0.00906983283071266,0.00795408328391363,0.0169096445986229,0.009024087096514758,0.018251578013102173,0.009078999651546299,0.007944706971635414,0.016926357461708518,0.009016671156095446,0.026519815127054803,0.011930678428479741,0.0162031056881597,0.019318616358425227,0.00093929245649446
